Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_IR_ADC:ir_distance	FINKEN_ACTUATORS_MODEL:thrust	ROTORCRAFT_STATUS:vsupply
16.774	15:44:34.550	43.462229950	1.272889989	0.227048	0.239474	126
17.024	15:44:34.800	43.462229950	1.272889989	0.222095	0.239474	126
17.274	15:44:35.050	43.462229950	1.272889989	0.222095	0.239474	126
17.524	15:44:35.300	43.462229950	1.272889989	0.222095	0.239474	126
17.774	15:44:35.550	43.462229950	1.272889989	0.222095	0.239474	126
18.024	15:44:35.800	43.462229950	1.272889989	0.5508	0.239474	126
18.274	15:44:36.050	43.462229950	1.272889989	0.5508	0.239474	126
18.524	15:44:36.300	43.462229950	1.272889989	0.5508	0.239474	126
18.774	15:44:36.550	43.462229950	1.272889989	0.5508	0.239474	126
19.024	15:44:36.800	43.462229950	1.272889989	1.3	0.239474	126
19.274	15:44:37.050	43.462229950	1.272889989	1.3	0.239474	126
19.524	15:44:37.300	43.462229950	1.272889989	1.3	0.239474	126
19.774	15:44:37.550	43.462229950	1.272889989	1.3	0.239474	126
20.024	15:44:37.800	43.462229950	1.272889989	1.3	0.239474	126
20.274	15:44:38.050	43.462229950	1.272889989	1.3	0.239474	126
20.524	15:44:38.300	43.462229950	1.272889989	1.3	0.239474	126
20.774	15:44:38.550	43.462229950	1.272889989	1.3	0.239474	126
21.024	15:44:38.800	43.462229950	1.272889989	0.7728	0.239474	126
21.274	15:44:39.050	43.462229950	1.272889989	0.7728	0.239474	126
21.524	15:44:39.300	43.462229950	1.272889989	0.7728	0.239474	126
21.774	15:44:39.550	43.462229950	1.272889989	0.7728	0.239474	126
22.024	15:44:39.800	43.462229950	1.272889989	0.6736	0.239474	126
22.274	15:44:40.050	43.462229950	1.272889989	0.6736	0.239474	126
22.524	15:44:40.300	43.462229950	1.272889989	0.6736	0.239474	126
22.774	15:44:40.550	43.462229950	1.272889989	0.6736	0.239474	126
23.024	15:44:40.800	43.462229950	1.272889989	0.2	0.239474	126
23.274	15:44:41.050	43.462229950	1.272889989	0.2	0.239474	126
23.524	15:44:41.300	43.462229950	1.272889989	0.2	0.239474	126
23.774	15:44:41.550	43.462229950	1.272889989	0.2	0.239474	126
24.024	15:44:41.800	43.462229950	1.272889989	0.242095	0.239474	126
24.274	15:44:42.050	43.462229950	1.272889989	0.242095	0.239474	126
24.524	15:44:42.300	43.462229950	1.272889989	0.242095	0.239474	126
24.774	15:44:42.550	43.462229950	1.272889989	0.242095	0.239474	126
25.024	15:44:42.800	43.462229950	1.272889989	0.242095	0.239474	126
25.274	15:44:43.050	43.462229950	1.272889989	0.242095	0.239474	126
25.524	15:44:43.300	43.462229950	1.272889989	0.242095	0.239474	126
25.774	15:44:43.550	43.462229950	1.272889989	0.242095	0.239474	126
26.024	15:44:43.800	43.462229950	1.272889989	0.242095	0.239474	126
26.274	15:44:44.050	43.462229950	1.272889989	0.242095	0.239474	126
26.524	15:44:44.300	43.462229950	1.272889989	0.242095	0.239474	126
26.774	15:44:44.550	43.462229950	1.272889989	0.242095	0.239474	126
27.024	15:44:44.800	43.462229950	1.272889989	0.241905	0.239474	126
27.274	15:44:45.050	43.462229950	1.272889989	0.241905	0.239474	126
27.524	15:44:45.300	43.462229950	1.272889989	0.241905	0.239474	126
27.774	15:44:45.550	43.462229950	1.272889989	0.241905	0.239474	126
28.024	15:44:45.800	43.462229950	1.272889989	0.242095	0.239474	126
28.274	15:44:46.050	43.462229950	1.272889989	0.242095	0.239474	126
28.524	15:44:46.300	43.462229950	1.272889989	0.242095	0.239474	126
28.774	15:44:46.550	43.462229950	1.272889989	0.242095	0.239474	126
29.024	15:44:46.800	43.462229950	1.272889989	0.242095	0.239474	126
29.274	15:44:47.050	43.462229950	1.272889989	0.242095	0.239474	126
29.524	15:44:47.300	43.462229950	1.272889989	0.242095	0.239474	126
29.774	15:44:47.550	43.462229950	1.272889989	0.242095	0.239474	126
30.024	15:44:47.800	43.462229950	1.272889989	0.242095	0.239474	126
30.274	15:44:48.050	43.462229950	1.272889989	0.242095	0.239474	126
30.524	15:44:48.300	43.462229950	1.272889989	0.242095	0.239474	126
30.774	15:44:48.550	43.462229950	1.272889989	0.242095	0.239474	126
31.024	15:44:48.800	43.462229950	1.272889989	0.242095	0.239474	126
31.274	15:44:49.050	43.462229950	1.272889989	0.242095	0.239474	126
31.524	15:44:49.300	43.462229950	1.272889989	0.242095	0.239474	126
31.774	15:44:49.550	43.462229950	1.272889989	0.242095	0.239474	126
32.024	15:44:49.800	43.462229950	1.272889989	0.242286	0.239474	126
32.274	15:44:50.050	43.462229950	1.272889989	0.242286	0.239474	126
32.524	15:44:50.300	43.462229950	1.272889989	0.242286	0.239474	126
32.774	15:44:50.550	43.462229950	1.272889989	0.242286	0.239474	126
33.024	15:44:50.800	43.462229950	1.272889989	0.241905	0.239474	126
33.274	15:44:51.050	43.462229950	1.272889989	0.241905	0.239474	126
33.524	15:44:51.300	43.462229950	1.272889989	0.241905	0.239474	126
33.774	15:44:51.550	43.462229950	1.272889989	0.241905	0.239474	126
34.024	15:44:51.800	43.462229950	1.272889989	0.242095	0.239474	126
34.274	15:44:52.050	43.462229950	1.272889989	0.242095	0.239474	126
34.524	15:44:52.300	43.462229950	1.272889989	0.242095	0.239474	126
34.774	15:44:52.550	43.462229950	1.272889989	0.242095	0.239474	126
35.024	15:44:52.800	43.462229950	1.272889989	0.241905	0.239474	126
35.274	15:44:53.050	43.462229950	1.272889989	0.241905	0.239474	126
35.524	15:44:53.300	43.462229950	1.272889989	0.241905	0.239474	126
35.774	15:44:53.550	43.462229950	1.272889989	0.241905	0.239474	126
