Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_IR_ADC:ir_distance	FINKEN_ACTUATORS_MODEL:thrust	ROTORCRAFT_STATUS:vsupply
3.629	15:18:3.561	43.462229950	1.272889989	0.245333	0.239474	126
3.879	15:18:3.811	43.462229950	1.272889989	0.245524	0.239474	126
4.129	15:18:4.061	43.462229950	1.272889989	0.245524	0.239474	126
4.379	15:18:4.311	43.462229950	1.272889989	0.245524	0.239474	126
4.629	15:18:4.561	43.462229950	1.272889989	0.245524	0.239474	126
4.879	15:18:4.811	43.462229950	1.272889989	0.245524	0.239474	126
5.129	15:18:5.061	43.462229950	1.272889989	0.245524	0.239474	126
5.379	15:18:5.311	43.462229950	1.272889989	0.245524	0.239474	126
5.629	15:18:5.561	43.462229950	1.272889989	0.245524	0.239474	126
5.879	15:18:5.811	43.462229950	1.272889989	0.245333	0.239474	126
6.129	15:18:6.061	43.462229950	1.272889989	0.245333	0.239474	126
6.379	15:18:6.311	43.462229950	1.272889989	0.245333	0.239474	126
6.629	15:18:6.561	43.462229950	1.272889989	0.245333	0.239474	126
6.879	15:18:6.811	43.462229950	1.272889989	0.245524	0.239474	126
7.129	15:18:7.061	43.462229950	1.272889989	0.245524	0.239474	126
7.379	15:18:7.311	43.462229950	1.272889989	0.245524	0.239474	126
7.629	15:18:7.561	43.462229950	1.272889989	0.245524	0.239474	126
7.879	15:18:7.811	43.462229950	1.272889989	0.245524	0.239474	126
8.129	15:18:8.061	43.462229950	1.272889989	0.245524	0.239474	126
8.379	15:18:8.311	43.462229950	1.272889989	0.245524	0.239474	126
8.629	15:18:8.561	43.462229950	1.272889989	0.245524	0.239474	126
8.879	15:18:8.811	43.462229950	1.272889989	0.245524	0.239474	126
9.129	15:18:9.061	43.462229950	1.272889989	0.245524	0.239474	126
9.379	15:18:9.311	43.462229950	1.272889989	0.245524	0.239474	126
9.629	15:18:9.561	43.462229950	1.272889989	0.245524	0.239474	126
9.879	15:18:9.811	43.462229950	1.272889989	0.245714	0.239474	126
10.129	15:18:10.061	43.462229950	1.272889989	0.245714	0.239474	126
10.379	15:18:10.311	43.462229950	1.272889989	0.245714	0.239474	126
10.629	15:18:10.561	43.462229950	1.272889989	0.245714	0.239474	126
10.879	15:18:10.811	43.462229950	1.272889989	0.245714	0.239474	126
11.129	15:18:11.061	43.462229950	1.272889989	0.245714	0.239474	126
11.379	15:18:11.311	43.462229950	1.272889989	0.245714	0.239474	126
11.629	15:18:11.561	43.462229950	1.272889989	0.245714	0.239474	126
11.879	15:18:11.811	43.462229950	1.272889989	0.245714	0.239474	126
12.129	15:18:12.061	43.462229950	1.272889989	0.245714	0.239474	126
12.379	15:18:12.311	43.462229950	1.272889989	0.245714	0.239474	126
12.629	15:18:12.561	43.462229950	1.272889989	0.245714	0.239474	126
12.879	15:18:12.811	43.462229950	1.272889989	0.245714	0.239474	126
13.129	15:18:13.061	43.462229950	1.272889989	0.245714	0.239474	126
13.379	15:18:13.311	43.462229950	1.272889989	0.245714	0.239474	126
13.629	15:18:13.561	43.462229950	1.272889989	0.245714	0.239474	126
13.879	15:18:13.811	43.462229950	1.272889989	0.245714	0.239474	126
14.129	15:18:14.061	43.462229950	1.272889989	0.245714	0.239474	126
14.379	15:18:14.311	43.462229950	1.272889989	0.245714	0.239474	126
14.629	15:18:14.561	43.462229950	1.272889989	0.245714	0.239474	126
14.879	15:18:14.811	43.462229950	1.272889989	0.245714	0.239474	126
15.129	15:18:15.061	43.462229950	1.272889989	0.245714	0.239474	126
15.379	15:18:15.311	43.462229950	1.272889989	0.245714	0.239474	126
15.629	15:18:15.561	43.462229950	1.272889989	0.245714	0.239474	126
15.879	15:18:15.811	43.462229950	1.272889989	0.245714	0.239474	126
16.129	15:18:16.061	43.462229950	1.272889989	0.245714	0.239474	126
16.379	15:18:16.311	43.462229950	1.272889989	0.245714	0.239474	126
16.629	15:18:16.561	43.462229950	1.272889989	0.245714	0.239474	126
16.879	15:18:16.811	43.462229950	1.272889989	0.245714	0.239474	126
17.129	15:18:17.061	43.462229950	1.272889989	0.245714	0.239474	126
17.379	15:18:17.311	43.462229950	1.272889989	0.245714	0.239474	126
17.629	15:18:17.561	43.462229950	1.272889989	0.245714	0.239474	126
17.879	15:18:17.811	43.462229950	1.272889989	0.245714	0.239474	126
18.129	15:18:18.061	43.462229950	1.272889989	0.245714	0.239474	126
18.379	15:18:18.311	43.462229950	1.272889989	0.245714	0.239474	126
18.629	15:18:18.561	43.462229950	1.272889989	0.245714	0.239474	126
18.879	15:18:18.811	43.462229950	1.272889989	0.245714	0.239474	126
19.129	15:18:19.061	43.462229950	1.272889989	0.245714	0.239474	126
19.379	15:18:19.311	43.462229950	1.272889989	0.245714	0.239474	126
19.629	15:18:19.561	43.462229950	1.272889989	0.245714	0.239474	126
19.879	15:18:19.811	43.462229950	1.272889989	0.245714	0.239474	126
20.129	15:18:20.061	43.462229950	1.272889989	0.245714	0.239474	126
20.379	15:18:20.311	43.462229950	1.272889989	0.245714	0.239474	126
20.629	15:18:20.561	43.462229950	1.272889989	0.245714	0.239474	126
20.879	15:18:20.811	43.462229950	1.272889989	0.245714	0.239474	126
21.129	15:18:21.061	43.462229950	1.272889989	0.245714	0.239474	126
21.379	15:18:21.311	43.462229950	1.272889989	0.245714	0.239474	126
21.629	15:18:21.561	43.462229950	1.272889989	0.245714	0.239474	126
21.879	15:18:21.811	43.462229950	1.272889989	0.245714	0.239474	126
22.129	15:18:22.061	43.462229950	1.272889989	0.245714	0.239474	126
22.379	15:18:22.311	43.462229950	1.272889989	0.245714	0.239474	126
22.629	15:18:22.561	43.462229950	1.272889989	0.245714	0.239474	126
22.879	15:18:22.811	43.462229950	1.272889989	0.245143	0.239474	126
23.129	15:18:23.061	43.462229950	1.272889989	0.245143	0.239474	126
23.379	15:18:23.311	43.462229950	1.272889989	0.245143	0.239474	126
23.629	15:18:23.561	43.462229950	1.272889989	0.245143	0.239474	126
23.879	15:18:23.811	43.462229950	1.272889989	0.245143	0.239474	126
24.129	15:18:24.061	43.462229950	1.272889989	0.245143	0.239474	126
24.379	15:18:24.311	43.462229950	1.272889989	0.245143	0.239474	126
24.629	15:18:24.561	43.462229950	1.272889989	0.245143	0.239474	126
24.879	15:18:24.811	43.462229950	1.272889989	0.244571	0.239474	126
25.129	15:18:25.061	43.462229950	1.272889989	0.244571	0.239474	126
25.379	15:18:25.311	43.462229950	1.272889989	0.244571	0.239474	126
