Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_IR_ADC:ir_distance	FINKEN_ACTUATORS_MODEL:thrust	ROTORCRAFT_STATUS:vsupply
3.801	14:08:1.024	43.462229950	1.272889989	1.25	0.337895	124
4.051	14:08:1.274	43.462229950	1.272889989	1.25	0.337895	124
4.301	14:08:1.524	43.462229950	1.272889989	0.7048	0.337895	124
4.551	14:08:1.774	43.462229950	1.272889989	0.7048	0.337895	124
4.801	14:08:2.024	43.462229950	1.272889989	0.7048	0.337895	124
5.051	14:08:2.274	43.462229950	1.272889989	0.7048	0.337895	124
5.301	14:08:2.524	43.462229950	1.272889989	0.2	0.337895	124
5.551	14:08:2.774	43.462229950	1.272889989	0.2	0.337895	124
5.801	14:08:3.024	43.462229950	1.272889989	0.2	0.337895	124
6.051	14:08:3.274	43.462229950	1.272889989	0.2	0.337895	124
6.301	14:08:3.524	43.462229950	1.272889989	0.228	0.337895	124
6.551	14:08:3.774	43.462229950	1.272889989	0.228	0.337895	124
6.801	14:08:4.024	43.462229950	1.272889989	0.228	0.337895	124
7.051	14:08:4.274	43.462229950	1.272889989	0.228	0.337895	124
7.301	14:08:4.524	43.462229950	1.272889989	0.228	0.337895	124
7.551	14:08:4.774	43.462229950	1.272889989	0.228	0.337895	124
7.801	14:08:5.024	43.462229950	1.272889989	0.228	0.337895	124
8.051	14:08:5.274	43.462229950	1.272889989	0.228	0.337895	124
8.301	14:08:5.524	43.462229950	1.272889989	0.228	0.337895	124
8.551	14:08:5.774	43.462229950	1.272889989	0.228	0.337895	124
8.801	14:08:6.024	43.462229950	1.272889989	0.228	0.337895	124
9.051	14:08:6.274	43.462229950	1.272889989	0.228	0.337895	124
9.301	14:08:6.524	43.462229950	1.272889989	0.228	0.337895	124
9.551	14:08:6.774	43.462229950	1.272889989	0.228	0.337895	124
9.801	14:08:7.024	43.462229950	1.272889989	0.228	0.337895	124
10.051	14:08:7.274	43.462229950	1.272889989	0.228	0.337895	124
10.301	14:08:7.524	43.462229950	1.272889989	0.22819	0.337895	124
10.551	14:08:7.774	43.462229950	1.272889989	0.22819	0.337895	124
10.801	14:08:8.024	43.462229950	1.272889989	0.22819	0.337895	124
11.051	14:08:8.274	43.462229950	1.272889989	0.22819	0.337895	124
11.301	14:08:8.524	43.462229950	1.272889989	0.228	0.337895	124
11.551	14:08:8.774	43.462229950	1.272889989	0.228	0.337895	124
11.801	14:08:9.024	43.462229950	1.272889989	0.228	0.337895	124
12.051	14:08:9.274	43.462229950	1.272889989	0.228	0.337895	124
12.301	14:08:9.524	43.462229950	1.272889989	0.22781	0.337895	124
12.551	14:08:9.774	43.462229950	1.272889989	0.22781	0.337895	124
12.801	14:08:10.024	43.462229950	1.272889989	0.22781	0.34	124
13.051	14:08:10.274	43.462229950	1.272889989	0.22781	0.34	123
13.301	14:08:10.524	43.462229950	1.272889989	0.227619	0.34	123
13.551	14:08:10.774	43.462229950	1.272889989	0.227619	0.34	123
13.801	14:08:11.024	43.462229950	1.272889989	0.227619	0.34	123
14.051	14:08:11.274	43.462229950	1.272889989	0.227619	0.34	123
14.301	14:08:11.524	43.462229950	1.272889989	0.22781	0.34	123
14.551	14:08:11.774	43.462229950	1.272889989	0.22781	0.34	123
14.801	14:08:12.024	43.462229950	1.272889989	0.22781	0.34	123
15.051	14:08:12.274	43.462229950	1.272889989	0.22781	0.34	123
15.301	14:08:12.524	43.462229950	1.272889989	0.22781	0.34	123
15.551	14:08:12.774	43.462229950	1.272889989	0.22781	0.34	123
15.801	14:08:13.024	43.462229950	1.272889989	0.22781	0.338947	123
16.051	14:08:13.274	43.462229950	1.272889989	0.22781	0.338947	123
16.301	14:08:13.524	43.462229950	1.272889989	0.22781	0.338947	123
16.551	14:08:13.774	43.462229950	1.272889989	0.22781	0.338947	123
16.801	14:08:14.024	43.462229950	1.272889989	0.22781	0.338947	123
17.051	14:08:14.274	43.462229950	1.272889989	0.22781	0.338947	123
17.301	14:08:14.524	43.462229950	1.272889989	0.227619	0.338947	123
17.551	14:08:14.774	43.462229950	1.272889989	0.227619	0.338947	123
17.801	14:08:15.024	43.462229950	1.272889989	0.227619	0.338947	123
18.051	14:08:15.274	43.462229950	1.272889989	0.227619	0.338947	123
18.301	14:08:15.524	43.462229950	1.272889989	0.227619	0.338947	123
18.551	14:08:15.774	43.462229950	1.272889989	0.227619	0.338947	123
18.801	14:08:16.024	43.462229950	1.272889989	0.227619	0.337895	123
19.051	14:08:16.274	43.462229950	1.272889989	0.227619	0.337895	124
19.301	14:08:16.524	43.462229950	1.272889989	0.227619	0.337895	124
19.551	14:08:16.774	43.462229950	1.272889989	0.227619	0.337895	124
19.801	14:08:17.024	43.462229950	1.272889989	0.227619	0.337895	124
20.051	14:08:17.274	43.462229950	1.272889989	0.227619	0.337895	124
20.301	14:08:17.524	43.462229950	1.272889989	0.22781	0.337895	124
20.551	14:08:17.774	43.462229950	1.272889989	0.22781	0.337895	124
20.801	14:08:18.024	43.462229950	1.272889989	0.22781	0.337895	124
21.051	14:08:18.274	43.462229950	1.272889989	0.22781	0.337895	123
21.301	14:08:18.524	43.462229950	1.272889989	0.22781	0.337895	123
21.551	14:08:18.774	43.462229950	1.272889989	0.22781	0.337895	123
21.801	14:08:19.024	43.462229950	1.272889989	0.22781	0.338947	123
22.051	14:08:19.274	43.462229950	1.272889989	0.22781	0.338947	123
22.301	14:08:19.524	43.462229950	1.272889989	0.228	0.338947	123
22.551	14:08:19.774	43.462229950	1.272889989	0.228	0.338947	123
22.801	14:08:20.024	43.462229950	1.272889989	0.228	0.338947	123
23.051	14:08:20.274	43.462229950	1.272889989	0.228	0.338947	123
23.301	14:08:20.524	43.462229950	1.272889989	0.22819	0.338947	123
23.551	14:08:20.774	43.462229950	1.272889989	0.22819	0.338947	123
23.801	14:08:21.024	43.462229950	1.272889989	0.22819	0.338947	123
24.051	14:08:21.274	43.462229950	1.272889989	0.22819	0.338947	123
24.301	14:08:21.524	43.462229950	1.272889989	0.228	0.338947	123
24.551	14:08:21.774	43.462229950	1.272889989	0.228	0.338947	123
24.801	14:08:22.024	43.462229950	1.272889989	0.228	0.338947	123
25.051	14:08:22.274	43.462229950	1.272889989	0.228	0.338947	123
25.301	14:08:22.524	43.462229950	1.272889989	0.228	0.338947	123
25.551	14:08:22.774	43.462229950	1.272889989	0.228	0.338947	123
25.801	14:08:23.024	43.462229950	1.272889989	0.228	0.338947	123
26.051	14:08:23.274	43.462229950	1.272889989	0.228	0.338947	123
26.301	14:08:23.524	43.462229950	1.272889989	0.22819	0.338947	123
26.551	14:08:23.774	43.462229950	1.272889989	0.22819	0.338947	123
26.801	14:08:24.024	43.462229950	1.272889989	0.22819	0.338947	123
27.051	14:08:24.274	43.462229950	1.272889989	0.22819	0.338947	123
27.301	14:08:24.524	43.462229950	1.272889989	0.228	0.338947	123
27.551	14:08:24.774	43.462229950	1.272889989	0.228	0.338947	123
27.801	14:08:25.024	43.462229950	1.272889989	0.228	0.338947	123
28.051	14:08:25.274	43.462229950	1.272889989	0.228	0.338947	123
28.301	14:08:25.524	43.462229950	1.272889989	0.228	0.338947	123
28.551	14:08:25.774	43.462229950	1.272889989	0.228	0.338947	123
28.801	14:08:26.024	43.462229950	1.272889989	0.228	0.338947	123
29.051	14:08:26.274	43.462229950	1.272889989	0.228	0.338947	123
29.301	14:08:26.524	43.462229950	1.272889989	0.22819	0.338947	123
29.551	14:08:26.774	43.462229950	1.272889989	0.22819	0.338947	123
29.801	14:08:27.024	43.462229950	1.272889989	0.22819	0.338947	123
