Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_IR_ADC:ir_distance	FINKEN_ACTUATORS_MODEL:thrust	ROTORCRAFT_STATUS:vsupply
4.489	14:43:55.922	43.462229950	1.272889989	0.228381	0.368421	125
4.739	14:43:56.172	43.462229950	1.272889989	0.228381	0.368421	125
4.989	14:43:56.422	43.462229950	1.272889989	0.228381	0.368421	125
5.239	14:43:56.672	43.462229950	1.272889989	0.228381	0.368421	125
5.489	14:43:56.922	43.462229950	1.272889989	0.228381	0.368421	125
5.739	14:43:57.172	43.462229950	1.272889989	0.228381	0.368421	125
5.989	14:43:57.422	43.462229950	1.272889989	0.228381	0.368421	125
6.239	14:43:57.672	43.462229950	1.272889989	0.228381	0.368421	125
6.489	14:43:57.922	43.462229950	1.272889989	0.228381	0.368421	125
6.739	14:43:58.172	43.462229950	1.272889989	0.228381	0.368421	125
6.989	14:43:58.422	43.462229950	1.272889989	0.228381	0.368421	125
7.239	14:43:58.672	43.462229950	1.272889989	0.22819	0.368421	125
7.489	14:43:58.922	43.462229950	1.272889989	0.22819	0.368421	125
7.739	14:43:59.172	43.462229950	1.272889989	0.22819	0.368421	125
7.989	14:43:59.422	43.462229950	1.272889989	0.22819	0.368421	125
8.239	14:43:59.672	43.462229950	1.272889989	0.228	0.368421	125
8.489	14:43:59.922	43.462229950	1.272889989	0.228	0.368421	125
8.739	14:44:0.172	43.462229950	1.272889989	0.228	0.368421	125
8.989	14:44:0.422	43.462229950	1.272889989	0.228	0.368421	125
9.239	14:44:0.672	43.462229950	1.272889989	0.228	0.368421	125
9.489	14:44:0.922	43.462229950	1.272889989	0.228	0.368421	125
9.739	14:44:1.172	43.462229950	1.272889989	0.228	0.368421	125
9.989	14:44:1.422	43.462229950	1.272889989	0.228	0.368421	125
10.239	14:44:1.672	43.462229950	1.272889989	0.22819	0.368421	125
10.489	14:44:1.922	43.462229950	1.272889989	0.22819	0.368421	125
10.739	14:44:2.172	43.462229950	1.272889989	0.22819	0.368421	125
10.989	14:44:2.422	43.462229950	1.272889989	0.22819	0.368421	125
11.239	14:44:2.672	43.462229950	1.272889989	0.228381	0.368421	125
11.489	14:44:2.922	43.462229950	1.272889989	0.228381	0.368421	125
11.739	14:44:3.172	43.462229950	1.272889989	0.228381	0.368421	125
11.989	14:44:3.422	43.462229950	1.272889989	0.228381	0.368421	125
12.239	14:44:3.672	43.462229950	1.272889989	0.22781	0.368421	125
12.489	14:44:3.922	43.462229950	1.272889989	0.22781	0.368421	125
12.739	14:44:4.172	43.462229950	1.272889989	0.22781	0.368421	125
12.989	14:44:4.422	43.462229950	1.272889989	0.22781	0.368421	125
13.239	14:44:4.672	43.462229950	1.272889989	0.225905	0.368421	125
13.489	14:44:4.922	43.462229950	1.272889989	0.225905	0.368421	125
13.739	14:44:5.172	43.462229950	1.272889989	0.225905	0.368421	125
13.989	14:44:5.422	43.462229950	1.272889989	0.225905	0.368421	125
14.239	14:44:5.672	43.462229950	1.272889989	0.226667	0.368421	125
14.489	14:44:5.922	43.462229950	1.272889989	0.226667	0.368421	125
14.739	14:44:6.172	43.462229950	1.272889989	0.226667	0.368947	125
14.989	14:44:6.422	43.462229950	1.272889989	0.226667	0.368947	125
15.239	14:44:6.672	43.462229950	1.272889989	0.226857	0.368947	125
15.489	14:44:6.922	43.462229950	1.272889989	0.226857	0.368947	125
15.739	14:44:7.172	43.462229950	1.272889989	0.226857	0.368947	125
15.989	14:44:7.422	43.462229950	1.272889989	0.226857	0.368947	125
16.239	14:44:7.672	43.462229950	1.272889989	0.994286	0.368947	125
16.489	14:44:7.922	43.462229950	1.272889989	0.994286	0.368947	125
16.739	14:44:8.172	43.462229950	1.272889989	0.994286	0.368947	125
