Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_ACTUATORS_MODEL:thrust	ROTORCRAFT_STATUS:vsupply
21.474	09:10:52.884	43.462229950	1.272889989	0.25	122
21.724	09:10:53.134	43.462229950	1.272889989	0.25	122
21.974	09:10:53.384	43.462229950	1.272889989	0.25	122
22.224	09:10:53.634	43.462229950	1.272889989	0.25	122
22.474	09:10:53.884	43.462229950	1.272889989	0.25	122
22.724	09:10:54.134	43.462229950	1.272889989	0.25	122
22.974	09:10:54.384	43.462229950	1.272889989	0.25	122
23.224	09:10:54.634	43.462229950	1.272889989	0.25	122
23.474	09:10:54.884	43.462229950	1.272889989	0.25	122
23.724	09:10:55.134	43.462229950	1.272889989	0.25	122
23.974	09:10:55.384	43.462229950	1.272889989	0.25	122
24.224	09:10:55.634	43.462229950	1.272889989	0.25	122
24.474	09:10:55.884	43.462229950	1.272889989	0.25	122
24.724	09:10:56.134	43.462229950	1.272889989	0.25	122
24.974	09:10:56.384	43.462229950	1.272889989	0.25	122
25.224	09:10:56.634	43.462229950	1.272889989	0.25	122
25.474	09:10:56.884	43.462229950	1.272889989	0.25	122
25.724	09:10:57.134	43.462229950	1.272889989	0.25	122
25.974	09:10:57.384	43.462229950	1.272889989	0.25	122
26.224	09:10:57.634	43.462229950	1.272889989	0.25	122
26.474	09:10:57.884	43.462229950	1.272889989	0.25	122
26.724	09:10:58.134	43.462229950	1.272889989	0.25	122
26.974	09:10:58.384	43.462229950	1.272889989	0.25	122
27.224	09:10:58.634	43.462229950	1.272889989	0.25	122
27.474	09:10:58.884	43.462229950	1.272889989	0.25	122
27.724	09:10:59.134	43.462229950	1.272889989	0.25	122
27.974	09:10:59.384	43.462229950	1.272889989	0.25	122
28.224	09:10:59.634	43.462229950	1.272889989	0.25	122
28.474	09:10:59.884	43.462229950	1.272889989	0.25	122
28.724	09:11:0.134	43.462229950	1.272889989	0.25	122
28.974	09:11:0.384	43.462229950	1.272889989	0.25	122
29.224	09:11:0.634	43.462229950	1.272889989	0.25	122
29.474	09:11:0.884	43.462229950	1.272889989	0.25	122
29.724	09:11:1.134	43.462229950	1.272889989	0.25	122
29.974	09:11:1.384	43.462229950	1.272889989	0.25	122
30.224	09:11:1.634	43.462229950	1.272889989	0.25	122
30.474	09:11:1.884	43.462229950	1.272889989	0.25	122
30.724	09:11:2.134	43.462229950	1.272889989	0.25	122
30.974	09:11:2.384	43.462229950	1.272889989	0.25	122
31.224	09:11:2.634	43.462229950	1.272889989	0.25	122
31.474	09:11:2.884	43.462229950	1.272889989	0.25	122
31.724	09:11:3.134	43.462229950	1.272889989	0.25	122
31.974	09:11:3.384	43.462229950	1.272889989	0.25	122
32.224	09:11:3.634	43.462229950	1.272889989	0.25	122
32.474	09:11:3.884	43.462229950	1.272889989	0.25	122
32.724	09:11:4.134	43.462229950	1.272889989	0.25	122
32.974	09:11:4.384	43.462229950	1.272889989	0.25	122
33.224	09:11:4.634	43.462229950	1.272889989	0.25	122
33.474	09:11:4.884	43.462229950	1.272889989	0.25	122
33.724	09:11:5.134	43.462229950	1.272889989	0.25	122
33.974	09:11:5.384	43.462229950	1.272889989	0.25	122
34.224	09:11:5.634	43.462229950	1.272889989	0.25	122
34.474	09:11:5.884	43.462229950	1.272889989	0.25	122
34.724	09:11:6.134	43.462229950	1.272889989	0.25	122
34.974	09:11:6.384	43.462229950	1.272889989	0.25	122
35.224	09:11:6.634	43.462229950	1.272889989	0.25	122
35.474	09:11:6.884	43.462229950	1.272889989	0.25	122
35.724	09:11:7.134	43.462229950	1.272889989	0.25	122
35.974	09:11:7.384	43.462229950	1.272889989	0.25	122
36.224	09:11:7.634	43.462229950	1.272889989	0.25	122
36.474	09:11:7.884	43.462229950	1.272889989	0.25	122
36.724	09:11:8.134	43.462229950	1.272889989	0.25	122
36.974	09:11:8.384	43.462229950	1.272889989	0.25	122
37.224	09:11:8.634	43.462229950	1.272889989	0.25	122
37.474	09:11:8.884	43.462229950	1.272889989	0.25	122
37.724	09:11:9.134	43.462229950	1.272889989	0.25	122
37.974	09:11:9.384	43.462229950	1.272889989	0.25	122
38.224	09:11:9.634	43.462229950	1.272889989	0.25	122
38.474	09:11:9.884	43.462229950	1.272889989	0.25	122
38.724	09:11:10.134	43.462229950	1.272889989	0.25	122
38.974	09:11:10.384	43.462229950	1.272889989	0.25	122
39.224	09:11:10.634	43.462229950	1.272889989	0.25	122
39.474	09:11:10.884	43.462229950	1.272889989	0.25	122
39.724	09:11:11.134	43.462229950	1.272889989	0.279149	122
39.974	09:11:11.384	43.462229950	1.272889989	0.279149	122
40.224	09:11:11.634	43.462229950	1.272889989	0.279149	122
40.474	09:11:11.884	43.462229950	1.272889989	0.279149	122
40.724	09:11:12.134	43.462229950	1.272889989	0.279149	122
40.974	09:11:12.384	43.462229950	1.272889989	0.279149	122
41.224	09:11:12.634	43.462229950	1.272889989	0.279149	122
41.474	09:11:12.884	43.462229950	1.272889989	0.279149	122
41.724	09:11:13.134	43.462229950	1.272889989	0.279149	122
41.974	09:11:13.384	43.462229950	1.272889989	0.279149	122
42.224	09:11:13.634	43.462229950	1.272889989	0.279149	122
42.474	09:11:13.884	43.462229950	1.272889989	0.279149	122
42.724	09:11:14.134	43.462229950	1.272889989	0.283446	122
42.974	09:11:14.384	43.462229950	1.272889989	0.283446	122
43.224	09:11:14.634	43.462229950	1.272889989	0.283446	122
43.474	09:11:14.884	43.462229950	1.272889989	0.283446	122
43.724	09:11:15.134	43.462229950	1.272889989	0.283446	122
43.974	09:11:15.384	43.462229950	1.272889989	0.283446	122
44.224	09:11:15.634	43.462229950	1.272889989	0.283446	122
44.474	09:11:15.884	43.462229950	1.272889989	0.283446	122
44.724	09:11:16.134	43.462229950	1.272889989	0.283446	122
44.974	09:11:16.384	43.462229950	1.272889989	0.283446	122
45.224	09:11:16.634	43.462229950	1.272889989	0.283446	122
45.474	09:11:16.884	43.462229950	1.272889989	0.283446	122
45.724	09:11:17.134	43.462229950	1.272889989	0.28779	122
45.974	09:11:17.384	43.462229950	1.272889989	0.28779	122
46.224	09:11:17.634	43.462229950	1.272889989	0.28779	122
