Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_IR_ADC:ir_distance	FINKEN_ACTUATORS_MODEL:thrust	ROTORCRAFT_STATUS:vsupply
21.474	09:07:6.263	43.462229950	1.272889989	0.221714	0.25	122
21.724	09:07:6.513	43.462229950	1.272889989	0.221714	0.25	122
21.974	09:07:6.763	43.462229950	1.272889989	0.221714	0.25	122
22.224	09:07:7.013	43.462229950	1.272889989	0.221714	0.25	122
22.474	09:07:7.263	43.462229950	1.272889989	0.221714	0.25	122
22.724	09:07:7.513	43.462229950	1.272889989	0.221714	0.25	122
22.974	09:07:7.763	43.462229950	1.272889989	0.221905	0.25	122
23.224	09:07:8.013	43.462229950	1.272889989	0.221905	0.25	122
23.474	09:07:8.263	43.462229950	1.272889989	0.221905	0.25	122
23.724	09:07:8.513	43.462229950	1.272889989	0.221905	0.25	122
23.974	09:07:8.763	43.462229950	1.272889989	0.222095	0.25	122
24.224	09:07:9.013	43.462229950	1.272889989	0.222095	0.25	122
24.474	09:07:9.263	43.462229950	1.272889989	0.222095	0.25	122
24.724	09:07:9.513	43.462229950	1.272889989	0.222095	0.25	122
24.974	09:07:9.763	43.462229950	1.272889989	0.221714	0.25	122
25.224	09:07:10.013	43.462229950	1.272889989	0.221714	0.25	122
25.474	09:07:10.263	43.462229950	1.272889989	0.221714	0.25	122
25.724	09:07:10.513	43.462229950	1.272889989	0.221714	0.25	122
25.974	09:07:10.763	43.462229950	1.272889989	0.221714	0.25	122
26.224	09:07:11.013	43.462229950	1.272889989	0.221714	0.25	122
26.474	09:07:11.263	43.462229950	1.272889989	0.221714	0.25	122
26.724	09:07:11.513	43.462229950	1.272889989	0.221714	0.25	122
26.974	09:07:11.763	43.462229950	1.272889989	0.221524	0.25	122
27.224	09:07:12.013	43.462229950	1.272889989	0.221524	0.25	122
27.474	09:07:12.263	43.462229950	1.272889989	0.221524	0.25	122
27.724	09:07:12.513	43.462229950	1.272889989	0.221524	0.25	122
27.974	09:07:12.763	43.462229950	1.272889989	0.221714	0.25	122
28.224	09:07:13.013	43.462229950	1.272889989	0.221714	0.25	122
28.474	09:07:13.263	43.462229950	1.272889989	0.221714	0.25	122
28.724	09:07:13.513	43.462229950	1.272889989	0.221714	0.25	122
28.974	09:07:13.763	43.462229950	1.272889989	0.222286	0.25	122
29.224	09:07:14.013	43.462229950	1.272889989	0.222286	0.25	122
29.474	09:07:14.263	43.462229950	1.272889989	0.222286	0.25	122
29.724	09:07:14.513	43.462229950	1.272889989	0.222286	0.25	122
29.974	09:07:14.763	43.462229950	1.272889989	0.221524	0.25	122
30.224	09:07:15.013	43.462229950	1.272889989	0.221524	0.25	122
30.474	09:07:15.263	43.462229950	1.272889989	0.221524	0.25	122
30.724	09:07:15.513	43.462229950	1.272889989	0.221524	0.25	122
30.974	09:07:15.763	43.462229950	1.272889989	0.221333	0.25	122
31.224	09:07:16.013	43.462229950	1.272889989	0.221333	0.25	122
31.474	09:07:16.263	43.462229950	1.272889989	0.221333	0.25	122
31.724	09:07:16.513	43.462229950	1.272889989	0.221333	0.25	122
31.974	09:07:16.763	43.462229950	1.272889989	0.221333	0.25	122
32.224	09:07:17.013	43.462229950	1.272889989	0.221524	0.25	122
32.474	09:07:17.263	43.462229950	1.272889989	0.221524	0.25	122
32.724	09:07:17.513	43.462229950	1.272889989	0.221524	0.25	122
32.974	09:07:17.763	43.462229950	1.272889989	0.221524	0.25	122
33.224	09:07:18.013	43.462229950	1.272889989	0.221714	0.25	122
33.474	09:07:18.263	43.462229950	1.272889989	0.221714	0.25	122
33.724	09:07:18.513	43.462229950	1.272889989	0.221714	0.25	122
33.974	09:07:18.763	43.462229950	1.272889989	0.221714	0.25	122
34.224	09:07:19.013	43.462229950	1.272889989	0.221714	0.25	122
34.474	09:07:19.263	43.462229950	1.272889989	0.221714	0.25	122
34.724	09:07:19.513	43.462229950	1.272889989	0.221714	0.25	122
